subset,language,tokenizer,tier,mean_tfr,median_tfr,std_tfr,mean_token_count,n_items
all,Arabic,mistral_7b_v0.1,T1,4.094045121545122,4.1,0.9297237614708846,43.05,20
all,Arabic,mistral_7b_v0.1,T2,3.6780402472716407,3.636338797814208,0.24240973561330525,211.7,30
all,Arabic,mistral_7b_v0.1,T3,3.644275713344951,3.643518518518518,0.23203503424257246,410.75,20
all,Arabic,qwen2.5_7b,T1,1.893465994789524,1.7346153846153847,0.470307099492773,18.85,20
all,Arabic,qwen2.5_7b,T2,1.5312352818449857,1.5374331550802138,0.1626667984778367,84.53333333333333,30
all,Arabic,qwen2.5_7b,T3,1.6329975085446056,1.619517543859649,0.1259261763799857,176.3,20
all,Arabic,tiktoken_o200k,T1,1.641966921966922,1.641025641025641,0.35548818837311635,16.55,20
all,Arabic,tiktoken_o200k,T2,1.2939800833184785,1.2746031746031745,0.12579659484842073,71.93333333333334,30
all,Arabic,tiktoken_o200k,T3,1.3561896100950395,1.3446455505279036,0.10874182761732536,146.65,20
all,Bengali,mistral_7b_v0.1,T1,4.6467744755244755,3.784090909090909,2.0258038217317353,48.2,20
all,Bengali,mistral_7b_v0.1,T2,5.601455621379459,5.610745614035087,0.6133013315290532,322.03333333333336,30
all,Bengali,mistral_7b_v0.1,T3,5.2930822510361235,5.322375127420999,0.3706487980500729,597.0,20
all,Bengali,qwen2.5_7b,T1,4.764408614261556,3.873076923076923,2.0237598368522476,47.2,20
all,Bengali,qwen2.5_7b,T2,5.5560255437040444,5.602099511072764,0.5492413169005158,307.2,30
all,Bengali,qwen2.5_7b,T3,5.426606020003804,5.413275761124122,0.3525145803481317,587.7,20
all,Bengali,tiktoken_o200k,T1,1.8106969419469419,1.792857142857143,0.5909061453249648,18.05,20
all,Bengali,tiktoken_o200k,T2,1.8068558386133509,1.7981871994080652,0.15277657536269876,100.46666666666667,30
all,Bengali,tiktoken_o200k,T3,1.79437358680043,1.791087231352718,0.09868574217682682,194.45,20
all,English,mistral_7b_v0.1,T1,1.0,1.0,0.0,10.75,20
all,English,mistral_7b_v0.1,T2,1.0,1.0,0.0,57.5,30
all,English,mistral_7b_v0.1,T3,1.0,1.0,0.0,112.8,20
all,English,qwen2.5_7b,T1,1.0,1.0,0.0,10.2,20
all,English,qwen2.5_7b,T2,1.0,1.0,0.0,55.3,30
all,English,qwen2.5_7b,T3,1.0,1.0,0.0,108.15,20
